train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps
0.0003,275.11,5863,31.064634250000005,-6.417113780975342,126982,0.00869698729366064,127083,0.5005362033843994,-0.839227020740509,404,21
0.0003,274.6,5921,30.917051519999994,-5.54766321182251,128195,0.008598024956882,128296,0.25256896018981934,1.9229819774627686,408,21
0.0003,277.12,5990,30.89804902000001,-6.257534980773926,129652,0.009093479253351688,129753,0.3691849410533905,-1.0456809997558594,412,21
0.0003,279.56,6053,31.31944905,-5.760080337524414,130989,0.008776465430855751,131090,0.2986299991607666,0.7458367943763733,416,21
0.0003,283.01,6123,31.608744559999995,-6.064352989196777,132488,0.00854880828410387,132589,0.20757868885993958,0.07683070003986359,420,21
0.0003,280.85,6169,31.41360487,-5.734100818634033,133441,0.008452209644019604,133542,0.30690956115722656,-0.25719135999679565,424,21
0.0003,281.97,6224,31.572049859999996,-5.9243669509887695,134608,0.009170168079435825,134709,0.4959397614002228,0.3213832378387451,428,21
0.0003,281.77,6272,31.611205060000003,-5.73250675201416,135627,0.00875315722078085,135728,0.3306303024291992,1.3804028034210205,432,21
0.0003,285.84,6348,32.237035850000005,-5.857435703277588,137221,0.008615384809672832,137322,0.508627712726593,1.017155408859253,436,21
0.0003,288.78,6400,32.93135789,-5.701986312866211,138339,0.008393190801143646,138440,0.6034517288208008,-0.24062582850456238,440,21
0.0003,289.55,6453,33.15126075,-5.736001968383789,139454,0.008995331823825836,139555,0.10349591821432114,-0.6093524694442749,444,21
0.0003,289.37,6503,33.23938578,-6.277609825134277,140512,0.008610731922090054,140613,0.5311558246612549,0.2373390793800354,448,21
0.0003,287.89,6552,32.8999241,-5.9639458656311035,141544,0.008757933042943478,141645,0.4047727584838867,0.011890307068824768,452,21
0.0003,287.84,6607,32.36402196,-5.54722261428833,142720,0.009002801962196827,142821,0.5507238507270813,2.4696245193481445,456,21
0.0003,288.74,6658,32.53572032,-5.926607131958008,143806,0.008607997559010983,143907,0.5375856161117554,0.38068699836730957,460,21
0.0003,287.4,6694,32.42477711,-5.383971691131592,144556,0.008716770447790623,144657,0.07943632453680038,2.751105785369873,464,21
0.0003,287.0,6743,31.987943880000003,-5.784458637237549,145609,0.008651476353406906,145710,0.11882564425468445,1.4235615730285645,468,21
0.0003,286.03,6805,31.392072840000004,-5.974612712860107,146922,0.00866967998445034,147023,0.14394935965538025,-0.11883193254470825,472,21
0.0003,285.22,6859,31.328358790000003,-5.923346042633057,148065,0.008726638741791248,148166,0.11107060313224792,-0.40655726194381714,476,21
0.0003,287.05,6910,31.680658629999996,-6.059488296508789,149149,0.008598808199167252,149250,0.19794055819511414,-0.23296785354614258,480,21
0.0003,290.46,6972,32.28268256,-5.793586730957031,150476,0.00849201437085867,150577,0.05181260034441948,-0.06251125037670135,484,21
0.0003,289.68,7016,32.100357370000005,-5.660250663757324,151430,0.008557221852242947,151531,0.3346852660179138,-0.7500373721122742,488,21
0.0003,291.16,7071,32.58105731999999,-6.350070953369141,152588,0.008293177001178265,152689,0.1849367618560791,-0.8448721170425415,492,21
0.0003,289.39,7127,32.57698786,-6.198473930358887,153772,0.00861405860632658,153873,0.08064347505569458,-1.7661855220794678,496,21
0.0003,286.24,7173,32.19353011,-5.856833457946777,154747,0.008336738683283329,154848,0.2685403823852539,0.8558148145675659,500,21
0.0003,288.93,7226,32.54658159,-5.951475143432617,155875,0.007923338562250137,155976,0.6056560277938843,0.12772685289382935,504,21
0.0003,289.05,7283,32.66008237,-5.610706806182861,157100,0.008201840333640575,157201,0.38777029514312744,0.2051713764667511,508,21
0.0003,286.58,7340,32.71806965,-5.738509654998779,158310,0.008188491687178612,158411,0.26396942138671875,0.10872317850589752,512,21
0.0003,286.35,7401,32.69739034,-5.8302435874938965,159624,0.008197352290153503,159725,0.1380467712879181,2.1953506469726562,516,21
0.0003,280.74,7445,31.98204989,-5.689919471740723,160562,0.008321420289576054,160663,0.5079050064086914,0.18395844101905823,520,21
0.0003,284.31,7506,32.5631165,-5.839193820953369,161872,0.008068009279668331,161973,0.04881773144006729,0.804310142993927,524,21
0.0003,282.31,7552,32.23941365,-5.716815948486328,162839,0.008102224208414555,162940,0.2487354576587677,-0.5108400583267212,528,21
0.0003,284.45,7610,32.4618878,-5.703001976013184,164072,0.008435500785708427,164173,0.19494345784187317,0.9459695816040039,532,21
0.0003,280.38,7666,32.314731970000004,-6.276980876922607,165259,0.008014011196792126,165360,0.13863179087638855,0.06633028388023376,536,21
0.0003,281.49,7724,31.90295462,-5.927398204803467,166488,0.008240783587098122,166589,0.19152644276618958,-1.122732400894165,540,21
0.0003,282.2,7780,32.11058722,-5.628037929534912,167674,0.008037823252379894,167775,0.6580805778503418,0.43680882453918457,544,21
0.0003,284.13,7839,32.25334296,-6.080989360809326,168925,0.008117279037833214,169026,0.12753981351852417,-0.21229751408100128,548,21
0.0003,285.31,7893,32.47782401,-6.030672073364258,170075,0.008023134432733059,170176,0.30745765566825867,0.7364524602890015,552,21
0.0003,284.42,7944,32.606468639999996,-6.491878986358643,171162,0.007979802787303925,171263,0.22729764878749847,-1.20199716091156,556,21
0.0003,281.99,7984,32.271894749999994,-5.991946220397949,172005,0.007958398200571537,172106,0.0906183272600174,-0.56154865026474,560,21
0.0003,287.07,8044,33.07462231,-6.2174601554870605,173263,0.008037424646317959,173364,0.5665601491928101,-0.5927388072013855,564,21
0.0003,286.99,8093,33.07753545,-6.140944004058838,174308,0.0079831937327981,174409,0.5433956384658813,-1.2246745824813843,568,21
0.0003,286.81,8154,32.96417049,-5.925415515899658,175603,0.007646807935088873,175704,0.27420687675476074,0.5822959542274475,572,21
0.0003,290.14,8223,33.468565989999995,-5.780182838439941,177079,0.007571434136480093,177180,0.7273901700973511,0.6528185606002808,576,21
0.0003,291.42,8281,34.028404910000006,-6.2929534912109375,178291,0.008177215233445168,178392,0.3516790270805359,-1.0514698028564453,580,21
0.0003,289.02,8332,33.53245185,-5.865915775299072,179378,0.008247832767665386,179479,0.030623845756053925,0.010577797889709473,584,21
0.0003,291.26,8388,33.98496797,-5.8056864738464355,180556,0.00786052830517292,180657,0.20889133214950562,0.24699300527572632,588,21
0.0003,290.7,8440,33.73739324,-6.058058738708496,181658,0.008109676651656628,181759,0.33685097098350525,-0.6823759078979492,592,21
0.0003,290.14,8493,33.540606909999994,-6.08315896987915,182786,0.007940142415463924,182887,0.24294912815093994,-0.5082237124443054,596,21
0.0003,290.92,8543,33.48813865,-6.222621917724609,183839,0.008301865309476852,183940,0.1574406772851944,-1.2971879243850708,600,21
0.0003,290.44,8593,33.514201639999996,-6.069214820861816,184919,0.008106846362352371,185020,0.28877943754196167,1.8761961460113525,604,21
0.0003,291.0,8654,33.66715075,-6.0735883712768555,186200,0.008088293485343456,186301,0.11629124730825424,0.08950015902519226,608,21
0.0003,292.04,8710,33.32500106,-6.003186225891113,187514,0.007983125746250153,187615,0.2636488676071167,0.468555748462677,612,21
0.0003,289.86,8753,33.31531634,-5.939313888549805,188610,0.008482184261083603,188711,0.21392115950584412,0.3167385756969452,616,21
0.0003,291.44,8797,33.57847010999999,-5.994600772857666,189706,0.008478783071041107,189807,0.16794398427009583,0.662053644657135,620,21
