time/total_timesteps,train/actor_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates
132642,-11.275249481201172,325.11,0.014720391482114792,5554,0.0003,0.15585997700691223,0.6478705406188965,23,404,61.553517170000006,132541
134246,-12.055719375610352,328.45,0.015176684595644474,5624,0.0003,0.7860992550849915,-1.3628655672073364,23,408,62.74099356,134145
135520,-11.101198196411133,324.94,0.015777891501784325,5680,0.0003,1.487391471862793,0.4764135479927063,23,412,62.54093926,135419
136735,-11.202892303466797,327.95,0.01550726406276226,5734,0.0003,1.322927713394165,0.5534169673919678,23,416,62.98745536999999,136634
138257,-10.64171314239502,331.69,0.01607304811477661,5803,0.0003,1.1816658973693848,-0.5515632629394531,23,420,63.578118440000004,138156
139537,-11.259137153625488,332.9,0.016015447676181793,5862,0.0003,0.5880721807479858,-0.08614448457956314,23,424,63.19721801000001,139436
140894,-10.83957576751709,333.66,0.015373590402305126,5925,0.0003,0.3375374674797058,0.7688558101654053,23,428,63.306355780000004,140793
142438,-11.58566951751709,335.71,0.015956120565533638,5993,0.0003,1.2806925773620605,-0.25501179695129395,23,432,63.32696312000001,142337
143533,-10.708837509155273,337.34,0.015935994684696198,6041,0.0003,0.4166850745677948,1.639448642730713,23,436,63.69870194999999,143432
144965,-11.007006645202637,338.79,0.015360833145678043,6097,0.0003,0.44461438059806824,1.6348165273666382,23,440,64.03333733000001,144864
146440,-11.256001472473145,340.08,0.015175627544522285,6150,0.0003,0.4878883361816406,0.22612392902374268,23,444,63.74558811999999,146339
147684,-10.853408813476562,334.89,0.01601572334766388,6194,0.0003,1.6834461688995361,0.5276979804039001,23,448,62.49701717,147583
149107,-11.096330642700195,337.48,0.014849192462861538,6244,0.0003,0.7029076814651489,0.2635138928890228,23,452,63.23469142,149006
150584,-10.937384605407715,339.54,0.014233910478651524,6296,0.0003,0.5564228296279907,0.789980411529541,23,456,63.39769943,150483
151905,-10.810535430908203,341.05,0.014689854346215725,6342,0.0003,0.5856539011001587,-0.5983255505561829,23,460,64.17203984000001,151804
153273,-11.322303771972656,343.33,0.015204433351755142,6390,0.0003,0.8616678714752197,0.874141275882721,23,464,64.24710375,153172
154407,-11.122026443481445,340.93,0.014400527812540531,6432,0.0003,0.6794865727424622,-0.6848811507225037,24,468,63.76245657999999,154306
155679,-10.573823928833008,337.72,0.015394195914268494,6487,0.0003,1.3918049335479736,-0.670630931854248,23,472,63.74859468,155578
156983,-10.485967636108398,335.48,0.015539182350039482,6544,0.0003,2.772554397583008,1.3635629415512085,23,476,63.49796098000001,156882
157989,-10.89483642578125,329.81,0.015511546283960342,6588,0.0003,1.682378888130188,0.6324384212493896,23,480,62.614773809999996,157888
159071,-10.377429008483887,329.84,0.015807660296559334,6635,0.0003,1.176032543182373,0.5191797614097595,23,484,62.169291890000004,158970
160492,-10.896425247192383,332.72,0.015718920156359673,6697,0.0003,2.419600009918213,0.512462854385376,23,488,63.42100269,160391
161910,-10.947576522827148,332.98,0.015324253588914871,6758,0.0003,1.7512738704681396,-0.7739207744598389,23,492,62.92801923,161809
163153,-11.148443222045898,330.26,0.01414667721837759,6812,0.0003,0.6652079820632935,0.9352424144744873,23,496,62.65463338999999,163052
164457,-10.409181594848633,330.9,0.014997432008385658,6869,0.0003,0.3462033271789551,0.7010064125061035,23,500,63.28102396,164356
165795,-10.458375930786133,331.53,0.01405713614076376,6927,0.0003,0.9340742826461792,0.64732426404953,23,504,63.17467261000001,165694
166807,-10.568530082702637,325.61,0.014217549003660679,6971,0.0003,0.2722633481025696,0.37719395756721497,23,508,62.12218835000001,166706
168093,-10.660903930664062,325.73,0.014731724746525288,7028,0.0003,0.573534369468689,-1.3998905420303345,23,512,61.92032720000001,167992
169315,-11.04821491241455,325.8,0.013620909303426743,7082,0.0003,0.7615290880203247,-0.4643484354019165,23,516,62.18404791,169214
170476,-11.293292999267578,322.19,0.01355733536183834,7132,0.0003,0.25648391246795654,0.3238430321216583,23,520,61.47911538999999,170375
171745,-10.51907730102539,322.08,0.014342025853693485,7179,0.0003,1.8944675922393799,0.29206568002700806,23,524,61.363270629999995,171644
172951,-11.263090133666992,320.57,0.013125560246407986,7224,0.0003,1.432756781578064,0.5993614196777344,23,528,60.916067299999995,172850
174659,-10.692835807800293,322.21,0.01401443686336279,7283,0.0003,1.5031331777572632,-0.4494735896587372,23,532,61.205327739999994,174558
176027,-10.639409065246582,324.94,0.014152243733406067,7331,0.0003,0.5034947991371155,0.5186801552772522,24,536,61.60522234999999,175926
176975,-10.369479179382324,320.1,0.014500357210636139,7364,0.0003,0.5439730882644653,1.5742912292480469,24,540,60.448637950000006,176874
178403,-10.414102554321289,319.63,0.014558789320290089,7415,0.0003,0.6174684762954712,-0.029561594128608704,24,544,60.10294328999999,178302
179364,-11.486401557922363,316.8,0.014861518517136574,7449,0.0003,1.0531283617019653,-1.6239089965820312,24,548,59.36649187,179263
180717,-11.155324935913086,316.1,0.0141231007874012,7504,0.0003,1.2006219625473022,0.44452545046806335,24,552,59.30143144999999,180616
181862,-10.722921371459961,312.78,0.014996923506259918,7553,0.0003,0.9025151133537292,-0.4534621238708496,24,556,58.65908371999999,181761
183170,-10.625105857849121,312.65,0.014186214655637741,7610,0.0003,0.9719399213790894,0.3134085536003113,24,560,57.872126619999996,183069
184442,-11.078411102294922,311.69,0.012465178966522217,7665,0.0003,0.707643449306488,0.5980560779571533,24,564,58.31080825,184341
185511,-10.84071159362793,311.04,0.01443139836192131,7712,0.0003,0.6153942346572876,-0.1289309859275818,24,568,58.517469950000006,185410
186902,-11.086030960083008,312.23,0.014109726063907146,7772,0.0003,0.657796323299408,0.27209731936454773,24,572,58.467611059999996,186801
188421,-10.91679859161377,314.38,0.014241262339055538,7838,0.0003,0.5782848000526428,-0.904704213142395,24,576,58.99616682,188320
189947,-10.634297370910645,319.58,0.013348077423870564,7904,0.0003,1.513227939605713,-1.0302274227142334,24,580,60.651817699999995,189846
191126,-11.022890090942383,320.55,0.013957463204860687,7956,0.0003,0.20822447538375854,-1.2823541164398193,24,584,60.91024705999999,191025
192406,-10.399552345275879,319.14,0.013567340560257435,8012,0.0003,0.3170759677886963,1.3930528163909912,24,588,60.099736930000006,192305
193640,-11.050782203674316,317.3,0.01405110489577055,8065,0.0003,0.4457658529281616,-0.006089620292186737,24,592,60.35922284,193539
194843,-10.550440788269043,316.9,0.01405223086476326,8117,0.0003,0.8779428005218506,-0.1534719467163086,24,596,59.79426587,194742
196140,-10.883390426635742,316.83,0.013756840489804745,8175,0.0003,0.7565252780914307,-0.9228902459144592,23,600,59.37638531999999,196039
197704,-11.179361343383789,319.09,0.013512816280126572,8242,0.0003,1.2981334924697876,-1.0429213047027588,23,604,60.10158466,197603
198774,-11.012161254882812,319.67,0.013838640414178371,8288,0.0003,0.19950009882450104,0.17674623429775238,23,608,60.02675851,198673
200261,-11.406319618225098,321.68,0.013407351449131966,8352,0.0003,0.6193506717681885,-0.6970778703689575,23,612,60.00241408999998,200160
201786,-10.665717124938965,324.71,0.013522632420063019,8417,0.0003,0.9169396162033081,-1.0640062093734741,23,616,60.782264569999995,201685
202931,-11.319397926330566,324.55,0.013281211256980896,8467,0.0003,0.37614524364471436,-0.731516420841217,23,620,61.04176543999999,202830
204193,-10.813819885253906,324.48,0.012967404909431934,8521,0.0003,1.2836140394210815,0.1854935735464096,23,624,61.544683799999994,204092
205886,-11.356314659118652,329.35,0.013962855562567711,8594,0.0003,0.15999487042427063,-0.3469829559326172,23,628,62.21577974000001,205785
207039,-11.021042823791504,323.8,0.013088486157357693,8644,0.0003,0.09100788831710815,-0.748975396156311,23,632,61.526497660000004,206938
208329,-10.763442993164062,323.02,0.013104066252708435,8701,0.0003,1.1058927774429321,-1.3809454441070557,23,636,61.914744469999995,208228
209428,-11.398383140563965,324.53,0.012419033795595169,8749,0.0003,1.1891837120056152,-1.7175755500793457,23,640,62.79045126,209327
210913,-10.72708797454834,325.1,0.014061259105801582,8814,0.0003,1.2404520511627197,-0.8977031707763672,23,644,63.5639217,210812
212175,-10.886879920959473,328.11,0.013088573701679707,8870,0.0003,0.30074185132980347,-0.8124833703041077,23,648,64.53511161,212074
213328,-11.628360748291016,326.11,0.012468365952372551,8920,0.0003,0.7483388185501099,-1.236936092376709,23,652,63.854610439999995,213227
