time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,train/learning_rate
88393,1808,88292,0.07814938575029373,0.1827109307050705,48,624,145.81,-51.73927307128906,211.61613306000004,8.188691139221191,0.0003
89014,1822,88913,0.08114775270223618,-0.8685095310211182,48,628,144.85,-49.58300018310547,210.888128,34.84791946411133,0.0003
89591,1834,89490,0.0830797627568245,1.0520495176315308,48,632,144.22,-49.4500732421875,212.92628352,24.679821014404297,0.0003
90279,1849,90178,0.08027198910713196,-0.3295619487762451,48,636,145.02,-46.46364974975586,214.25927194999997,17.543380737304688,0.0003
90778,1859,90677,0.0805731937289238,0.04353027790784836,48,640,142.54,-52.65140151977539,208.30748992,45.58758544921875,0.0003
91340,1872,91239,0.08142685145139694,0.7056422829627991,48,644,143.39,-52.14963150024414,208.18350188,28.715694427490234,0.0003
92084,1887,91983,0.08281766623258591,-0.3699370324611664,48,648,144.42,-51.69422149658203,210.15202647,14.827455520629883,0.0003
92689,1900,92588,0.08166415989398956,0.2656515836715698,48,652,144.55,-50.55426788330078,210.62462017,11.173219680786133,0.0003
93319,1914,93218,0.08208000659942627,0.07136883586645126,48,656,146.12,-51.362945556640625,215.17844914999995,33.28458786010742,0.0003
93860,1925,93759,0.08275967091321945,-0.048894740641117096,48,660,146.36,-52.13279724121094,215.86160198000002,68.68325805664062,0.0003
94516,1939,94415,0.08390140533447266,0.7542791366577148,48,664,147.29,-49.7799072265625,221.29096666,39.145076751708984,0.0003
95274,1956,95173,0.08382288366556168,-0.8011000156402588,48,668,149.61,-52.33524703979492,225.90982771,10.585478782653809,0.0003
95967,1971,95866,0.08672919869422913,-0.032261330634355545,48,672,149.45,-49.59787368774414,222.99692442,11.425914764404297,0.0003
96661,1986,96560,0.084294892847538,-0.38481003046035767,48,676,150.28,-48.09041976928711,221.91141146000007,36.43366241455078,0.0003
97271,1999,97170,0.08708804100751877,-0.29743054509162903,48,680,149.14,-54.673580169677734,221.35370558,23.33538246154785,0.0003
97764,2010,97663,0.08404231071472168,0.20214498043060303,48,684,147.47,-54.4337043762207,221.06810006,21.034358978271484,0.0003
98572,2027,98471,0.08167901635169983,0.08819238841533661,48,688,150.33,-50.72342300415039,229.48251628999998,26.749805450439453,0.0003
