train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/n_updates
-1.6324129104614258,0.28068843483924866,256.39,0.0003,19851,0.0043264394626021385,7.5260708099999984,10,207733,732,0.0011450331658124924,207632
-1.519141435623169,-0.4854593873023987,258.1,0.0003,19959,0.019180554896593094,7.609336770000001,10,208915,736,0.0012044685427099466,208814
-1.5462450981140137,-1.9460880756378174,255.62,0.0003,20039,0.006379256024956703,7.5299714700000004,10,209801,740,0.0010633518686518073,209700
-1.4978551864624023,-2.858982563018799,258.27,0.0003,20148,0.008816231042146683,7.57949747,10,210981,744,0.0012120858300477266,210880
-1.621812343597412,0.04015621542930603,255.65,0.0003,20221,0.010545937344431877,7.491300720000001,10,211793,748,0.0011304563377052546,211692
-1.5353022813796997,1.5080311298370361,253.86,0.0003,20315,0.0028756968677043915,7.38209133,10,212843,752,0.0011755800805985928,212742
-1.6143423318862915,-0.08211997151374817,255.22,0.0003,20413,0.011108453385531902,7.426826839999999,10,213923,756,0.001157848397269845,213822
-1.5563254356384277,-2.7514045238494873,256.63,0.0003,20497,0.00430026650428772,7.525977759999998,10,214852,760,0.0012261465890333056,214751
-1.400834083557129,3.218092918395996,254.91,0.0003,20560,0.010465356521308422,7.45766334,10,215550,764,0.001143601373769343,215449
-1.5368638038635254,0.659418523311615,250.67,0.0003,20623,0.0022628181613981724,7.2979082,10,216245,768,0.0011259719030931592,216144
-1.6152927875518799,0.017279669642448425,250.0,0.0003,20710,0.0244513638317585,7.266188719999999,10,217211,772,0.0010758581338450313,217110
-1.4785141944885254,1.2870906591415405,251.22,0.0003,20801,0.009607546031475067,7.259787660000001,10,218218,776,0.0011658744188025594,218117
-1.6172451972961426,-1.6043328046798706,251.91,0.0003,20919,0.007880174554884434,7.27823402,10,219569,780,0.001222594059072435,219468
-1.5717332363128662,1.8950194120407104,252.43,0.0003,21002,0.0014737560413777828,7.31435961,10,220578,784,0.0011894720373675227,220477
-1.5819735527038574,0.8629515171051025,250.1,0.0003,21083,0.010646484792232513,7.288442889999999,10,221560,788,0.0012197523610666394,221459
