time/total_timesteps,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate,time/time_elapsed
151832,151731,0.00799153558909893,0.10717952251434326,292.7,18,36.05059984,-6.337240219116211,476,0.10262809693813324,0.0003,8258
153189,153088,0.007979707792401314,1.9109196662902832,292.83,18,36.12435071,-6.1561760902404785,480,0.2714049518108368,0.0003,8333
154547,154446,0.008352205157279968,0.37668222188949585,296.08,18,36.642112850000004,-6.479000091552734,484,0.15809062123298645,0.0003,8408
155636,155535,0.008021241053938866,-1.0109684467315674,297.65,18,37.15613735,-6.385080337524414,488,0.03847799450159073,0.0003,8466
157025,156924,0.00838449876755476,0.39318981766700745,300.69,18,37.714353380000006,-6.515002250671387,492,0.05440915748476982,0.0003,8543
158264,158163,0.007836079224944115,0.43616461753845215,299.4,18,37.83110447,-6.212357521057129,496,0.20721474289894104,0.0003,8606
159464,159363,0.008484861813485622,0.3298022747039795,300.15,18,37.9868176,-6.266467571258545,500,0.23865845799446106,0.0003,8675
160939,160838,0.00837696623057127,0.6632145047187805,305.26,18,38.99370183,-6.486453056335449,504,0.06815004348754883,0.0003,8752
162405,162304,0.00831752922385931,0.11730740964412689,307.85,18,39.71280484,-6.467304229736328,508,0.4022229313850403,0.0003,8833
163926,163825,0.008597061969339848,0.006335780024528503,312.94,18,40.88475594,-6.576104640960693,512,0.1792750507593155,0.0003,8917
165428,165327,0.009284627623856068,0.37697547674179077,316.14,18,41.3868747,-6.335817813873291,516,0.2620815634727478,0.0003,8995
