train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss,rollout/ep_len_mean
-9.8232421875,53.45434473,2.206562042236328,163071,23,162970,7031,480,0.0003,0.009666789323091507,0.5455275774002075,331.47
-10.009711265563965,53.39913339,0.1253475546836853,164385,23,164284,7091,484,0.0003,0.010594638995826244,0.317166805267334,330.44
-10.03798770904541,53.367724499999994,-0.8455246090888977,165808,23,165707,7155,488,0.0003,0.010896752588450909,0.48127421736717224,332.79
-10.322982788085938,53.09795667000001,-0.05835217237472534,167103,23,167002,7206,492,0.0003,0.009961530566215515,0.30159372091293335,332.81
-10.180026054382324,52.6789059,0.1262913942337036,168221,23,168120,7248,496,0.0003,0.01047248113900423,0.7352839708328247,331.07
-10.183484077453613,52.682834959999994,0.7447924613952637,169614,23,169513,7299,500,0.0003,0.010295961052179337,0.8792673349380493,332.17
-10.1653413772583,52.674524659999996,-0.12033067643642426,171030,23,170929,7351,504,0.0003,0.010104993358254433,1.190321445465088,331.41
-10.021734237670898,52.594247159999995,1.7250926494598389,172077,23,171976,7389,508,0.0003,0.010424716398119926,0.5426155924797058,332.24
-10.031584739685059,51.424576859999995,-0.8370091319084167,173103,23,173002,7426,512,0.0003,0.010416567325592041,0.9753121137619019,327.28
-10.091407775878906,50.808519419999996,-0.1269465982913971,174221,23,174120,7467,516,0.0003,0.010196380317211151,0.07526308298110962,324.93
-9.956491470336914,50.64413625,1.01646888256073,175635,23,175534,7524,520,0.0003,0.010137420147657394,0.12851622700691223,324.6
-10.181878089904785,49.92038332000001,-1.1280627250671387,176921,23,176820,7582,524,0.0003,0.009793982841074467,0.3661162555217743,324.34
-10.24347972869873,50.07379651,0.018574822694063187,178139,23,178038,7636,528,0.0003,0.010408489033579826,0.33961865305900574,323.53
-10.145812034606934,49.7944815,0.9779407978057861,179388,23,179287,7692,532,0.0003,0.010374858044087887,0.19292354583740234,321.27
-9.649174690246582,49.949086290000004,2.3104379177093506,180889,23,180788,7759,536,0.0003,0.010109181515872478,0.7641655206680298,321.65
-10.17976188659668,49.276963990000006,-0.378922700881958,181986,23,181885,7808,540,0.0003,0.010470029897987843,0.39771032333374023,317.14
-9.857819557189941,49.257023280000006,0.2682344913482666,183258,23,183157,7865,544,0.0003,0.009931092150509357,1.1780307292938232,314.04
-9.988143920898438,48.909290520000006,0.3266867399215698,184246,23,184145,7909,548,0.0003,0.00980997271835804,0.5299959182739258,311.45
-10.323701858520508,47.700540849999996,-0.4077914357185364,185365,23,185264,7959,552,0.0003,0.009889760985970497,0.594873309135437,307.6
-10.044661521911621,47.2964827,2.1216187477111816,186386,23,186285,8006,556,0.0003,0.010597928427159786,0.6478931903839111,305.86
-9.725111961364746,48.14925963999999,1.211299180984497,187617,23,187516,8061,560,0.0003,0.009934288449585438,0.19836166501045227,309.84
-9.781904220581055,46.96451446999998,-0.17825356125831604,188670,23,188569,8109,564,0.0003,0.009875769726932049,0.6185071468353271,305.53
-10.222844123840332,48.15054270999999,-0.5430102944374084,190035,23,189934,8170,568,0.0003,0.009845418855547905,0.7755211591720581,309.73
